-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Latitude  13.0827   Longitude 80.2707 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2010,19.02,0.05,0.14,8.28,128.74,108.78,118.4,167.25,132.69,177.77,317.99,182.87,1361.98
PRECTOTCORR_SUM,2011,19.12,20.68,0.08,50.32,20.49,47.55,151.64,164.22,132.77,295.47,331.7,137.18,1371.22
PRECTOTCORR_SUM,2012,26.38,0.06,1.09,13.58,22.33,55.96,96.07,122.67,109.45,354.21,62.79,140.1,1004.69
PRECTOTCORR_SUM,2013,0.37,22.16,34.68,8.84,47.27,109.34,99.61,175.05,186.75,173.19,127.62,38.18,1023.06
PRECTOTCORR_SUM,2014,0.95,5.68,0.91,0.31,64.33,121.08,46.62,157.86,137.28,307.53,115.6,137.86,1096.01
PRECTOTCORR_SUM,2015,4.11,0.37,2.56,83.63,45.6,61.69,95.12,157.63,103.08,139.76,991.08,276.83,1961.46
PRECTOTCORR_SUM,2016,1.39,0.01,0.31,0.08,147.54,124.91,94.34,61.44,137.64,21.9,24.01,197.79,811.36
PRECTOTCORR_SUM,2017,26.56,0.03,6.58,1.36,13.82,73.89,155.55,221.57,179.68,226.15,361.56,23.32,1290.07
PRECTOTCORR_SUM,2018,2.7,8.39,21.43,1.57,20.75,63.86,68.59,127.11,108.71,150.62,202.79,55.86,832.38
PRECTOTCORR_SUM,2019,1.13,1.64,0.4,1.78,12.18,63.02,147.68,197.88,247.34,236.75,161.26,135.97,1207.03
PRECTOTCORR_SUM,2020,32.54,0.43,0.6,46.67,91.04,71.4,194.58,120.67,177.46,150.65,460.85,213.65,1560.54
PRECTOTCORR_SUM,2021,121.96,23.81,0.02,24.61,52.65,72.93,209.66,135.0,116.1,189.56,763.96,131.09,1841.35
PRECTOTCORR_SUM,2022,31.87,0.57,2.66,2.52,74.59,148.63,112.69,188.48,84.61,195.22,313.78,208.66,1364.28
PRECTOTCORR_SUM,2023,3.58,1.16,59.42,12.23,63.57,154.14,89.4,212.93,223.98,55.28,347.24,302.95,1525.88
PRECTOTCORR_SUM,2024,56.79,0.05,0.03,0.2,37.29,192.78,163.89,173.2,99.31,290.63,383.35,226.35,1623.87
PRECTOTCORR_SUM,2025,45.0,0.1,14.55,34.86,96.56,55.9,107.61,179.8,158.45,331.15,131.41,-999.0,-999.0
